,"Suggested citation: Institute of International Education. (2021). ""Total Number of Study Abroad Students: Leading Doctoral Universities*, 2002/03 - 2019/20"" Open Doors Report on International Educational Exchange. Retrieved from https://opendoorsdata.org/.",,,,,,,,,,,,,,,,,,30,University of Colorado - Boulder,Boulder,CO,"1,265",,30,University of Kansas,Lawrence,KS,"1,365",,30,San Diego State University,San Diego,CA,"1,429",,30,University of Notre Dame,Notre Dame,IN,"1,421",,30,Florida State University,Tallahassee,FL,"1,465",,30,Cornell University,Ithaca,NY,"1,478",,30,San Diego State University,San Diego,CA,"1,610",,30,Georgetown University,Washington,D.C.,"1,564",,30,Georgetown University,Washington,DC,"1,572",,30,University of South Carolina - Columbia,Columbia,SC,"1,698",,30,Northeastern University - Boston,Boston,MA,"1,761",,30,University of Pittsburgh - Pittsburgh,Pittsburgh,PA,"1,809",,30,University of Pittsburgh - Pittsburgh,Pittsburgh,PA,"1,910",,30,Miami University - Oxford,Oxford,OH,"1,889",,University of Notre Dame,Notre Dame,IN,986
,,,,,,,,,,,,,,,,,,,31,Syracuse University,Syracuse,NY,"1,239",,31,Syracuse University,Syracuse,NY,"1,291",,31,Brigham Young University,Provo,UT,"1,416",,31,University of California - Davis,Davis,CA,"1,412",,31,University of San Diego,San Diego,CA,"1,409",,31,University of San Diego,San Diego,CA,"1,457",,31,American University,Washington,D.C.,"1,605",,31,Cornell University,Ithaca,NY,"1,547",,31,Cornell University,Ithaca,NY,"1,556",,31,University of California - Berkeley,Berkeley,CA,"1,688",,31,Georgetown University,Washington,DC,"1,747",,31,University of Maryland - College Park,College Park,MD,"1,785",,31,University of California - Berkeley,Berkeley,CA,"1,888",,31,Syracuse University,Syracuse,NY,"1,887",,American University,Washington,DC,985
,,,,,,,,,,,,,,,,,,,32,University of Pittsburgh - Pittsburgh,Pittsburgh,PA,"1,223",,32,University of Pittsburgh - Pittsburgh,Pittsburgh,PA,"1,281",,32,University of Notre Dame,Notre Dame,IN,"1,358",,32,George Washington University,Washington,DC,"1,396",,32,University of Delaware,Newark,DE,"1,401",,32,University of California - Davis,Davis,CA,"1,448",,32,University of Notre Dame,Notre Dame,IN,"1,601",,32,Syracuse University,Syracuse,NY,"1,485",,32,University of Colorado - Boulder,Boulder,CO,"1,541",,32,Cornell University,Ithaca,NY,"1,670",,32,George Washington University,Washington,DC,"1,745",,32,University of South Carolina - Columbia,Columbia,SC,"1,766",,32,University of Maryland - College Park,College Park,MD,"1,871",,32,Georgetown University,Washington,DC,"1,870",,University of Massachusetts - Amherst,Amherst,MA,949
,,,,,,,,,,,,,,,,,,,33,Cornell University,Ithaca,NY,"1,216",,33,Texas A&M University,College Station,TX,"1,248",,33,University of San Diego,San Diego,CA,"1,335",,33,Texas A&M University,College Station,TX,"1,388",,33,Syracuse University,Syracuse,NY,"1,394",,33,San Diego State University,San Diego,CA,"1,441",,33,Georgetown University,Washington,D.C.,"1,457",,33,University of California - Berkeley,Berkeley,CA,"1,464",,33,University of Pittsburgh - Pittsburgh,Pittsburgh,PA,"1,526",,33,University of Pittsburgh - Pittsburgh,Pittsburgh,PA,"1,595",,33,University of Colorado - Boulder,Boulder,CO,"1,730",,33,Georgia Institute of Technology,Atlanta,GA,"1,693",,33,Georgetown University,Washington,DC,"1,836",,33,Cornell University,Ithaca,NY,"1,867",,Georgetown University,Washington,DC,916
,,,,,,,,,,,,,,,,,,,34,George Washington University,Washington,DC,"1,204",,34,Purdue University - West Lafayette,West Lafayette,IN,"1,240",,34,Texas A&M University,College Station,TX,"1,333",,34,Arizona State University,Tempe,AZ,"1,361",,34,Arizona State University,Tempe,AZ,"1,387",,34,University of Kansas,Lawrence,KS,"1,425",,34,University of Delaware,Newark,DE,"1,430",,34,University of Pittsburgh - Pittsburgh,Pittsburgh,PA,"1,451",,34,University of California - Berkeley,Berkeley,CA,"1,520",,34,University of Colorado - Boulder,Boulder,CO,"1,592",,34,University of South Carolina - Columbia,Columbia,SC,"1,713",,34,Syracuse University,Syracuse,NY,"1,688",,34,Boston University,Boston,MA,"1,764",,34,Georgia Institute of Technology,Atlanta,GA,"1,862",,University of California - Santa Barbara,Santa Barbara,CA,914
,,,,,,,,,,,,,,,,,,,35,Texas A&M University,College Station,TX,"1,162",,35,University of Notre Dame,Notre Dame,IN,"1,206",,35,University of California - Davis,Davis,CA,"1,322",,35,Northeastern University,Boston,MA,"1,322",,35,Cornell University,Ithaca,NY,"1,377",,35,University of North Carolina - Chapel Hill,Chapel Hill,NC,"1,404",,35,University of California - Berkeley,Berkeley,CA,"1,408",,35,University of Delaware,Newark,DE,"1,316",,35,Syracuse University,Syracuse,NY,"1,494",,35,Georgetown University,Washington,DC,"1,589",,35,University of Pittsburgh - Pittsburgh,Pittsburgh,PA,"1,651",,35,University of Notre Dame,Notre Dame,IN,"1,572",,35,Georgia Institute of Technology,Atlanta,GA,"1,753",,34,Boston University,Boston,MA,"1,862",,Florida State University,Tallahassee,FL,898
,,,,,,,,,,,,,,,,,,,36,University of Iowa,Iowa City,IA,"1,103",,36,University of Colorado - Boulder,Boulder,CO,"1,159",,36,Cornell University,Ithaca,NY,"1,308",,36,University of Pittsburgh - Pittsburgh,Pittsburgh,PA,"1,287",,36,University of Iowa,Iowa City,IA,"1,365",,36,University of Notre Dame,Notre Dame,IN,"1,384",,36,University of Pittsburgh - Pittsburgh,Pittsburgh,PA,"1,385",,36,University of South Carolina - Columbia,Columbia,SC,"1,299",,36,University of South Carolina - Columbia,Columbia,SC,"1,453",,36,Georgia Institute of Technology,Atlanta,GA,"1,509",,36,Georgia Institute of Technology,Atlanta,GA,"1,637",,36,University of Cincinnati,Cincinnati,OH,"1,550",,36,Syracuse University,Syracuse,NY,"1,694",,36,University of Pittsburgh - Pittsburgh,Pittsburgh,PA,"1,752",,Tulane University,New Orleans,LA,852
,,,,,,,,,,,,,,,,,,,37,Iowa State University of Science and Technology,Ames,IA,"1,023",,37,University of Iowa,Iowa City,IA,"1,157",,36,University of Pittsburgh - Pittsburgh,Pittsburgh,PA,"1,308",,37,University of Iowa,Iowa City,IA,"1,283",,37,University of North Carolina - Chapel Hill,Chapel Hill,NC,"1,358",,37,University of Delaware,Newark,DE,"1,375",,37,University of Missouri-Columbia,Columbia,MO,"1,371",,37,University of Notre Dame,Notre Dame,IN,"1,297",,37,American University,Washington,DC,"1,451",,37,University of Cincinnati,Cincinnati,OH,"1,501",,37,University of Notre Dame,Notre Dame,IN,"1,604",,37,Georgetown University,Washington,DC,"1,539",,37,University of Cincinnati,Cincinnati,OH,"1,674",,37,Elon University,Elon,NC,"1,684",,University of California - Berkeley,Berkeley,CA,843
,,,,,,,,,,,,,,,,,,,38,Emory University,Atlanta,GA,"1,014",,38,Cornell University,Ithaca,NY,"1,156",,38,University of Colorado - Boulder,Boulder,CO,"1,257",,38,University of Colorado - Boulder,Boulder,CO,"1,279",,38,Purdue University - West Lafayette,West Lafayette,IN,"1,346",,38,Purdue University - West Lafayette,West Lafayette,IN,"1,353",,38,University of Colorado - Boulder,Boulder,CO,"1,330",,38,University of San Diego,San Diego,CA,"1,295",,38,Georgia Institute of Technology,Atlanta,GA,"1,399",,38,American University,Washington,DC,"1,494",,38,Syracuse University,Syracuse,NY,"1,568",,38,Iowa State University,Ames,IA,"1,512",,38,Elon University,Elon,NC,"1,550",,38,University of South Florida - Tampa,Tampa,FL,"1,660",,Boston College,Chestnut Hill,MA,835
,,,,,,,,,,,,,,,,,,,39,University of California - San Diego,La Jolla,CA,"1,000",,39,Iowa State University,Ames,IA,"1,111",,39,Purdue University - West Lafayette,West Lafayette,IN,"1,231",,39,Purdue University - West Lafayette,West Lafayette,IN,"1,208",,39,University of Kansas,Lawrence,KS,"1,345",,39,University of Iowa,Iowa City,IA,"1,347",,39,University of California - Davis,Davis,CA,"1,324",,39,University of Colorado - Boulder,Boulder,CO,"1,282",,39,University of Notre Dame,Notre Dame,IN,"1,382",,39,University of California - Davis,Davis,CA,"1,454",,39,University of Missouri - Columbia,Columbia,MO,"1,566",,39,George Washington University,Washington,DC,"1,486",,39,University of South Florida - Tampa,Tampa,FL,"1,539",,39,University of San Diego,San Diego,CA,"1,616",,Ohio State University - Columbus,Columbus,OH,773
,,,,,,,,,,,,,,,,,,,40,Boston College,Chestnut Hill,MA,996,,40,Virginia Polytechnic Institute and State University,Blacksburg,VA,"1,076",,40,University of Iowa,Iowa City,IA,"1,218",,40,University of San Diego,San Diego,CA,"1,198",,40,Boston College,Chestnut Hill,MA,"1,327",,40,University of California - Berkeley,Berkeley,CA,"1,329",,40,Purdue University - West Lafayette,West Lafayette,IN,"1,312",,40,Purdue University - West Lafayette,West Lafayette,IN,"1,269",,40,Iowa State University,Ames,IA,"1,375",,40,Iowa State University,Ames,IA,"1,449",,40,University of Cincinnati,Cincinnati,OH,"1,538",,40,University of Oklahoma - Norman,Norman,OK,"1,483",,40,Temple University,Philadelphia,PA,"1,535",,40,Iowa State University,Ames,IA,"1,612",,Northeastern University - Boston,Boston,MA,750
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Note:  In 2002/03 - 2004/05, Open Doors only provided the top 20 doctorate-granting institutions.  Beginning in 2005/06, the top 40 doctorate-granting institutions are listed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"*As Open Doors uses the Carnegie system for its institutional-level analyses and rankings, comparisons within institutional categories from previous Open Doors reports are not always possible.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Historically, Open Doors has used the following codes:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018 Carnegie Classification:  Open Doors 2019 and 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015 Carnegie Classification:  Open Doors 2016 through 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010 Carnegie Classification:  Open Doors 2010 through 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2005 Carnegie Classification:  Open Doors 2008 through 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000 Carnegie Classification:  Open Doors 2004 through 2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
